network,mode,total_persons,total_persons_generated,unfinished_persons,completion_rate_pct,transit_riders,walk_only,transit_share_pct,rider_avg_travel_time,rider_avg_waiting_time,rider_avg_riding_time,rider_avg_ride_distance_km,rider_avg_walking_time,rider_avg_walking_distance_m,rider_avg_speed_kmh,rider_avg_time_loss,rider_avg_ride_time_loss,rider_avg_walk_time_loss,rider_avg_ride_waiting_time,walker_avg_travel_time,walker_avg_walking_time,walker_avg_walking_distance_m,walker_avg_speed_kmh,walker_avg_time_loss,walker_avg_walk_time_loss,all_avg_travel_time,all_avg_walking_time,all_avg_walking_distance_m,all_avg_speed_kmh,all_avg_time_loss,all_avg_walk_time_loss,bus_count,total_mileage_km,avg_mileage_km,total_customers,avg_customers_per_bus,drt_requests_served,occupied_distance_km,occupancy_rate_pct,vehicle_km,occupied_km,passenger_km,avg_occupancy_pax_per_veh,max_onboard,max_onboard_vehicle_id,km_per_passenger
5x5_DRT3,drt,35,35,0,100.0,35,0,100.0,729.2,469.45714285714286,259.74285714285713,1.8645054285714286,0.0,0.0,9.476697826522976,104.17314285714285,104.17314285714285,0.0,0,0,0,0,0,0,0,729.2,0.0,0.0,9.476697826522976,104.17314285714285,0.0,3,72.98629,24.32876333333333,35,11.666666666666666,35,47.17629,64.6371941908542,72.98629,47.17629,65.25769,1.3832730382147471,3,odVan01,2.0853225714285712
5x5_DRT3,drt,33,33,0,100.0,33,0,100.0,642.8787878787879,357.0,285.8787878787879,1.9368360606060606,0.0,0.0,11.244208895090871,122.06939393939393,122.06939393939393,0.0,0,0,0,0,0,0,0,642.8787878787879,0.0,0.0,11.244208895090871,122.06939393939393,0.0,3,65.55816,21.85272,33,11.0,33,45.205560000000006,68.95489440216139,65.55816,45.205560000000006,63.91559,1.4138878049514263,3,odVan11,1.9866109090909092
5x5_DRT3,drt,22,22,0,100.0,22,0,100.0,655.0454545454545,347.6818181818182,307.3636363636364,2.059076363636363,0.0,0.0,11.802044898604754,135.45681818181816,135.45681818181816,0.0,0,0,0,0,0,0,0,655.0454545454545,0.0,0.0,11.802044898604755,135.4568181818182,0.0,3,53.22308,17.741026666666667,22,7.333333333333333,22,34.1265,64.11973903051083,53.22308,34.1265,45.299679999999995,1.3274048027192942,3,odVan11,2.4192309090909094
5x5_DRT6,drt,59,59,0,100.0,59,0,100.0,667.0169491525423,366.2542372881356,300.76271186440675,2.0251320338983057,0.0,0.0,11.168914969708268,127.62813559322035,127.62813559322035,0.0,0,0,0,0,0,0,0,667.0169491525423,0.0,0.0,11.168914969708268,127.62813559322035,0.0,6,120.17402999999999,20.029004999999998,59,9.833333333333334,59,81.66929999999999,67.95919218153873,120.17402999999999,81.66929999999999,119.48279000000001,1.463007396904345,3,odVan01,2.0368479661016945
5x5_DRT6,drt,64,64,0,100.0,64,0,100.0,662.171875,340.9375,321.234375,2.2094125,0.0,0.0,12.509508251395248,132.62640625,132.62640625,0.0,0,0,0,0,0,0,0,662.171875,0.0,0.0,12.509508251395248,132.62640625,0.0,6,128.00997999999998,21.334996666666665,64,10.666666666666666,64,87.80633,68.59334717496246,128.00997999999998,87.80633,141.4024,1.6103895926409861,4,odVan01,2.0001559374999998
5x5_DRT6,drt,63,63,0,100.0,63,0,100.0,702.5079365079365,382.93650793650795,319.57142857142856,2.143647142857143,0.0,0.0,11.124201588625564,134.59190476190477,134.59190476190477,0.0,0,0,0,0,0,0,0,702.5079365079365,0.0,0.0,11.124201588625565,134.59190476190477,0.0,6,121.76874000000001,20.294790000000003,63,10.5,63,87.449,71.81564004029276,121.76874000000001,87.449,135.04977000000002,1.544326064334641,4,odVan02,1.932837142857143
5x5_DRT15,drt,59,59,0,100.0,59,0,100.0,695.3220338983051,386.10169491525426,309.22033898305085,2.0154962711864406,0.0,0.0,10.824090117781607,130.2964406779661,130.2964406779661,0.0,0,0,0,0,0,0,0,695.3220338983051,0.0,0.0,10.824090117781608,130.2964406779661,0.0,15,115.29307999999999,7.686205333333333,59,3.933333333333333,59,80.94502,70.20804717854706,115.29307999999999,80.94502,118.91428000000003,1.4690746879795697,4,odVan04,1.9541199999999999
5x5_DRT15,drt,64,64,0,100.0,64,0,100.0,671.953125,371.171875,300.78125,2.0347135937500003,0.0,0.0,11.478426537282864,125.52250000000001,125.52250000000001,0.0,0,0,0,0,0,0,0,671.953125,0.0,0.0,11.478426537282862,125.5225,0.0,15,126.30159,8.420106,64,4.266666666666667,64,85.21186,67.4669732978025,126.30159,85.21186,130.22167,1.5282106270183515,4,odVan25,1.97346234375
5x5_DRT15,drt,63,63,0,100.0,63,0,100.0,644.8253968253969,325.5238095238095,319.3015873015873,2.1590138095238096,0.0,0.0,12.102007621409834,130.48460317460317,130.48460317460317,0.0,0,0,0,0,0,0,0,644.8253968253969,0.0,0.0,12.102007621409834,130.4846031746032,0.0,15,123.79921999999999,8.253281333333332,63,4.2,63,85.96960999999999,69.44277193345806,123.79921999999999,85.96960999999999,136.01787000000002,1.5821622315141366,4,odVan01,1.9650669841269839
5x5_DRT15,drt,102,102,0,100.0,102,0,100.0,723.0490196078431,398.8137254901961,324.2352941176471,2.1385801960784314,0.0,0.0,11.042602628826048,136.94529411764705,136.94529411764705,0.0,0,0,0,0,0,0,0,723.0490196078431,0.0,0.0,11.04260262882605,136.94529411764705,0.0,15,185.14653,12.343102,102,6.8,102,140.42427999999998,75.84494292169556,185.14653,140.42427999999998,218.13518,1.5534007366817193,4,odVan05,1.8151620588235295
