network,mode,traffic,demand,num_runs,avg_travel_time_mean,avg_travel_time_se,avg_waiting_time_mean,avg_waiting_time_se,avg_riding_time_mean,avg_riding_time_se,riders_count_mean,riders_count_se,total_persons_mean,total_persons_se,total_mileage_km_mean,total_mileage_km_se,avg_occupancy_mean,avg_occupancy_se,km_per_passenger_mean,km_per_passenger_se
5x5_DRT3,drt,high,p120b2,3,675.7080808080808,26.975581603680997,391.3796536796537,39.13130828929217,284.3284271284271,13.768773453491834,30.0,4.041451884327381,30.0,4.041451884327381,63.922509999999996,5.763466276697845,1.3748552152951559,0.025317794965859747,2.1637214632034634,0.13089411213349575
5x5_DRT6,drt,high,p60b2,3,677.232253553493,12.715001605663419,363.3760817415478,12.209176895891057,313.8561718119451,6.564306710141289,62.0,1.5275252316519468,62.0,1.5275252316519468,123.31758333333333,2.390935301929163,1.5392410179599907,0.042621478065691505,1.989947015486279,0.030456140073412737
5x5_DRT15,drt,high,p60b2,3,670.700185241234,14.590578951816537,360.93245981302124,18.22136353435395,309.7677254282127,5.353361790545003,62.0,1.5275252316519468,62.0,1.5275252316519468,121.79796333333333,3.3316959789989546,1.5264825155040194,0.032656994670489374,1.9642164426256612,0.005599825326737051
5x5_DRT15,drt,high,p38b2,3,670.8934675288556,27.804988763419647,357.77975246836326,20.893284214630846,313.11371506049227,7.96293486194686,92.0,6.429100507328637,92.0,6.429100507328637,164.57530333333332,13.69980056513518,1.582308311130899,0.0410428616417131,1.785327558614935,0.026393602070963213
5x5_DRT15,drt,high,p27b2,3,710.976080787592,12.087760452859776,379.64566353187047,6.433029970731434,331.33041725572156,6.14671973953622,137.66666666666666,3.844187531556932,137.66666666666666,3.844187531556932,235.13023333333334,10.100598703087416,1.6832398142623892,0.010128851601295102,1.7069974896787345,0.0365132940780297
5x5_DRT30,drt,high,p27b2,3,694.1838295110601,15.825519139164598,361.57757300601753,9.815525989593393,332.6062565050425,14.535118274615995,139.0,5.131601439446884,139.0,5.131601439446884,255.2103666666667,15.601064598582514,1.6296199967160028,0.01878325393681446,1.8330925009620485,0.047101488008062055
5x5_DRT30,drt,high,p21b2,3,733.66547444422,12.43190661722494,372.63465555253015,7.117271284732289,361.0308188916899,6.10634359768739,178.66666666666666,4.48454134902457,178.66666666666666,4.48454134902457,307.48026,2.1691168919708526,1.7902723454871479,0.03366142121713241,1.7226955080530644,0.03522305881031668
5x5_DRT30,drt,high,p15b4,3,682.2361255792484,10.129608423468333,344.32520677234334,4.760572568170007,337.9109188069051,7.15592995402953,234.66666666666666,4.630814663149935,234.66666666666666,4.630814663149935,380.71631333333335,17.833495117920037,1.8209753977541714,0.08691912638787545,1.6252247101026878,0.09840752353547283
5x5_FixedLow,fixed,high,p120b2,3,991.5142613878246,30.138443348272006,218.78130511463846,7.1065359991988934,168.5463115003345,12.190525940880871,23.333333333333332,4.702245326555294,29.666666666666668,4.371625682868,95.89524,0.5084235173881446,0.15248999354635379,0.03322194558232342,4.173883497605364,0.9378876137548424
5x5_FixedLow,fixed,high,p60b2,3,988.2764415664509,33.31728954047899,224.26426148627812,17.07172299980661,155.377274128893,4.896271491878098,46.666666666666664,0.33333333333333337,61.666666666666664,1.3333333333333333,95.16962333333333,1.1180743665238815,0.27510651944147874,0.010722062005669393,1.9040506377484328,0.03587884862573556
5x5_FixedLow,fixed,high,p38b2,3,977.9635753328344,33.17741612963495,216.1625825808312,17.208434263711215,161.091314391988,4.9777395154194455,67.66666666666667,2.4037008503093262,92.0,6.429100507328637,93.77526666666667,0.32256425459812604,0.4114816579501432,0.02576572992355104,1.3019573066573067,0.06118494852960614
5x5_FixedLow,fixed,high,p27b2,3,954.7935272858939,22.510526654731038,206.07009482428813,5.541910668950635,158.49454760343224,3.441248467039084,99.33333333333333,3.844187531556932,137.33333333333334,5.333333333333333,95.49408666666666,1.0654729921859967,0.597549863141958,0.024235071997560073,0.8720966563279208,0.02423325886811622
5x5_FixedHigh,fixed,high,p27b2,3,882.7062205521194,10.251287103067554,221.85386611267697,0.6080590398294686,179.74354631166815,4.1029687551987974,126.0,5.567764362830022,139.0,5.131601439446884,214.2922766666667,1.7492146830919493,0.37831571399366126,0.024919995364123128,1.3498051315676605,0.061054548067622935
5x5_FixedHigh,fixed,high,p21b2,3,886.7377035779413,13.161325456568251,223.9581196296666,4.434012864090063,176.15981890209392,5.275811739105237,165.33333333333334,5.174724898753342,178.66666666666666,4.48454134902457,214.84001333333336,1.411299511624333,0.48302384494835154,0.02460916137033637,1.054795478627385,0.03972388877921734
5x5_FixedHigh,fixed,high,p15b4,3,882.7717328867642,2.032883269573406,222.40657363686293,3.302838024990232,175.829638251079,2.3374520890455472,217.0,7.571877794400365,234.33333333333334,4.333333333333334,212.50675333333334,4.984844891001575,0.6498477648288356,0.004751949772160705,0.76614897639966,0.011027044809692185
5x5_DRT15,drt,low,p27b2,3,658.2373029545355,25.80551172312023,345.945560021853,23.07858390301717,312.29174293268255,5.1364244825268015,139.0,5.131601439446884,139.0,5.131601439446884,236.56029333333333,14.441069470269335,1.648678318752001,0.01274838883773316,1.6991559209246034,0.04372901534629658
5x5_FixedLow,fixed,low,p27b2,3,959.7011355387158,15.732801471091172,212.44680114440754,3.438576213977914,159.676196717219,3.8628373136973013,100.66666666666667,4.255715111601235,137.66666666666666,5.174724898753342,95.40449333333333,1.1568907220265514,0.6115566161478204,0.03237358685424189,0.8616437727903931,0.035013555375566975
